OBJECTID,type,crash/near-miss date,crash/near-miss mode,crash/near-miss time of day,mode involved,e-scooter involved,Was anyone injured?,crash cause,crash narrative,nearmiss cause,nearmiss narrative,police,unsafe location mode,unsafe location time of day,unsafe location cause,unsafe location narrative,safe location mode,safe location cause,safe location narrative,mobility device,e-bike,e-scooter,improvement,improvement narrative,address,report date,latitude,longitude,type,coordinates
217,unsafe,,,,,,,,,,,,,,,,,,,,,,,,"1921-1969 Russell St, Berkeley, CA, 94703, USA",3/11/2019,37.8564505,-122.2691255,Point,"[-122.269124999649,37.856450000348]"
218,unsafe,,,,,,,,,,,,bike,"day, night","poor-sign, driving-speed",There needs to be improved signage at the intersections of the Countywide Bike Trail.,,,,,,,,,"Snow Dr, Suisun City, CA, 94585, USA",3/12/2019,38.24361601,-122.0148686,Point,"[-122.014869000108,38.2436160003037]"
219,incident,,walk,,,,,,,,,,,,,,,,,,,,,,"Snow Dr, Suisun City, CA, 94585, USA",3/12/2019,38.24361601,-122.0148686,Point,"[-122.014869000108,38.2436160003037]"
220,unsafe,,,,,,,,,,,,,,,,,,,,,,,,"Walters Rd, Suisun City, CA, 94585, USA",3/12/2019,38.24890826,-121.9882634,Point,"[-121.988262999857,38.248908000157]"
221,incident,,walk,,,,,,,,,,,,,,,,,,,,,,"Walters Rd, Suisun City, CA, 94585, USA",3/12/2019,38.24890826,-121.9882634,Point,"[-121.988262999857,38.248908000157]"
222,nearMiss,Dec-18,walk,day,driver,,none,,,no-yield,Cars turn right on red without looking/waiting for pedestrians at the crosswalk.,,,,,,,,,,,,,,"301-399 Sunset Ave, Suisun City, CA, 94585, USA",3/12/2019,38.24668376,-122.0202809,Point,"[-122.02028100025,38.2466839998108]"
223,unsafe,,,,,,,,,,,,"walk, scooter",day,other,"There is a very short crossing period in an area with high speed traffic.  I often see elderly pedestrians, parents pushing  strollers, and others struggling to cross in the allotted time.",,,,,,,,,"Marina Blvd, Suisun City, CA, 94585, USA",3/12/2019,38.24450905,-122.0315728,Point,"[-122.03157300034,38.2445090000353]"
224,unsafe,,,,,,,,,,,,walk,day,no-yield,,,,,,,,,,"225-299 Main St, Suisun City, CA, 94585, USA",3/12/2019,38.24287148,-122.0406361,Point,"[-122.040635999935,38.2428709996566]"
225,unsafe,,,,,,,,,,,,"walk, scooter","day, night","no-yield, driving-speed",,,,,,,,,,"Pintail Dr, Suisun City, CA, 94585, USA",3/12/2019,38.249316,-122.0204749,Point,"[-122.020475000419,38.2493160000354]"
226,unsafe,,,,,,,,,,,,"walk, bike, ride","day, night","poor-sign, no-yield, driving-speed","This is a crazy intersection for all modes of transport. Cars are bikes are traveling quickly on bancroft. Cars turning left from Ellsworth must first creep into the crosswalk and then the bikes lanes to see around parked cars on Bancroft. There needs to be a signal or traffic circle or other traffic calming measure installed at this intersection to avoid a serious collision between cars, people, bikes, scooters  or any combination of the above.",,,,,,,,,"2301-2329 Ellsworth St, Berkeley, CA, 94704, USA",3/13/2019,37.86813853,-122.2636717,Point,"[-122.263672000397,37.8681389998153]"
227,positive,,,,,,,,,,,,,,,,walk,"safe-speed, car-traffic, good-sign",,,,,,,"2230-2272 Piedmont Ave, Berkeley, CA, 94720, USA",3/13/2019,37.8708888,-122.2528165,Point,"[-122.25281700015,37.8708890000214]"
228,positive,,,,,,,,,,,,,,,,walk,safe-speed,,,,,,,"200-399 Wurster Hall, Berkeley, CA, 94720, USA",3/13/2019,37.87036704,-122.2542822,Point,"[-122.254281999665,37.8703670001737]"
229,nearMiss,3/12/2019,bike,day,driver,,none,,,no-yield,"Driver failed to yield for the HAWK sign for a cyclist crossing Ashby via Hillegas. Driver sped around a stopped driver and almost collided with a group of cyclists, including me. ",,,,,,,,,,,,,,"2600-2624 Ashby Ave, Berkeley, CA, 94705, USA",3/13/2019,37.85667456,-122.255458,Point,"[-122.255458000373,37.8566750003067]"
230,incident,Dec-18,ride,night,ped,,none,"poor-lighting, other","Individual threw a large traffic cone at the vehicle I was in, denting the roof of the vehicle and break the overhead light. ",,,yes,,,,,,,,,,,,,"2549-2581 Haste St, Berkeley, CA, 94704, USA",3/13/2019,37.86624592,-122.2573798,Point,"[-122.257379999823,37.8662459999574]"
231,nearMiss,3/9/2019,bike,night,driver,,none,,,"poor-lighting, car-door","While I was biking down the bike lane(using the shared e-Ford GoBike) on Channing, halfway between Shattuck and Milvia, someone walked out from behind their parked car to open their driver seat door. Even with bike lights on I was unable to notice the person until last second, which caused me to severely brake and subsequently fell over. I was able to get back up with little injuries.",,,,,,,,,,,,,,"2012 Channing Way, Berkeley, CA, 94704, USA",3/13/2019,37.86550968,-122.2693798,Point,"[-122.269379999917,37.8655099999107]"
232,incident,Jan-19,walk,day,driver,,none,"poor-sign, no-yield, unsafe-speed",I routinely see crashes at this exact intersection. This is due to no protected turns and a ton of cars on a busy intersection. ,,,yes,,,,,,,,,,,,,"University Ave, Berkeley, CA, 94704, USA",3/13/2019,37.87160899,-122.2729638,Point,"[-122.272964000321,37.8716089996601]"
233,positive,,,,,,,,,,,,,,,,walk,"safe-speed, car-traffic, good-sidewalk, good-lighting, good-sign",,,,,,,"2398 Bancroft Way, Berkeley, CA, 94704, USA",3/13/2019,37.868148,-122.2616835,Point,"[-122.261683000102,37.868147999676]"
234,positive,,,,,,,,,,,,,,,,walk,"safe-speed, good-sidewalk, good-lighting",,,,,,,"Gayley Rd, Berkeley, CA, 94720, USA",3/13/2019,37.87234075,-122.2534913,Point,"[-122.25349099982,37.8723409996673]"
235,unsafe,,,,,,,,,,,,walk,"day, night","poor-sign, no-yield",There are no lights/stop signs and limited intersection markings here,,,,,,,,,"2020-2098 Berkeley Way, Berkeley, CA, 94704, USA",3/13/2019,37.87295608,-122.2684981,Point,"[-122.268497999835,37.87295599982]"
236,nearMiss,Feb-19,walk,day,"driver, ped",,none,,,"no-yield, unsafe-speed, other","When walking from Addison Street east towards Berkeley’s campus, you have to cross Shattuck twice. The pedestrian walk signal timing is short: so it typically ends before someone has crossed both intersections. So most pedestrians end up jay walking, since they don’t want to wait for another walk sign cycle. This has lead to some near misses. Additionally, when large trucks are parked on the sides of the intersections, it can block pedestrians line of sight.",,,,,,,,,,,,,,"SUBWAY, 92 Shattuck Sq, Berkeley, CA, 94704, USA",3/13/2019,37.87137,-122.26774,Point,"[-122.267739999601,37.8713699997152]"
237,incident,Jan-06,ride,day,driver,,none,no-yield,The right of way was not established well.,,,yes,,,,,,,,,,,,,"701-799 Madison St, Petaluma, CA, 94952, USA",3/13/2019,38.24363241,-122.6354564,Point,"[-122.635455999812,38.2436320001789]"
238,unsafe,,,,,,,,,,,,walk,"day, night","poor-sign, no-yield, driving-speed","Crossing the street is difficult because of the two way traffic.  At night, it is more difficult because drivers cannot see you.",,,,,,,,,"2451-2499 Parker St, Berkeley, CA, 94704, USA",3/13/2019,37.86328588,-122.2586892,Point,"[-122.258688999702,37.8632860000906]"
239,nearMiss,3/13/2019,other,day,driver,,none,,,no-yield,"I was traveling west, down Stadium Rim Way, about to cross Gayley Road to enter campus from the east. I approached the stop sign, and came to a stop. I watched as a car traveling south on Gayley turned left onto Stadium Rim Way, and then the car traveling north on Gayley continued straight. As it was my turn, I crossed the street, and another car traveling south on Gayley emerged from the stop sign almost half way into the intersection before yielding fully to me.",,,,,,,,,,,,,,"1-28 Rim Way, Berkeley, CA, 94720, USA",3/13/2019,37.87251113,-122.253715,Point,"[-122.253715000126,37.8725109999981]"
240,nearMiss,Nov-18,ride,day,driver,,none,,,"no-yield, unsafe-speed",,,,,,,,,,,,,,,"2001-2005 Marin Ave, Berkeley, CA, 94707, USA",3/13/2019,37.89032076,-122.2721702,Point,"[-122.272170000103,37.8903209999068]"
241,nearMiss,Jan-19,walk,night,"driver, ped",,none,,,no-yield,Cars traveling northbound on MLK will sometimes turn left onto University. Sometimes these left turns happen while the light is yellow or green. This can result in cars almost hitting pedestrians who are crossing university on the west side of the intersection.,,,,,,,,,,,,,,"1836-1898 University Ave, Berkeley, CA, 94703, USA",3/13/2019,37.87145707,-122.2729973,Point,"[-122.272996999933,37.8714569997077]"
242,nearMiss,Feb-19,walk,day,driver,,none,,,"obstacle, unsafe-speed","Cars going too fast, cars parked mean pedestrians have to step out into the crosswalk to see oncoming traffic. Pedestrian crosswalk bulbouts would be good here.",,,,,,,,,,,,,,"801-899 6th St, Eureka, CA, 95501, USA",3/14/2019,40.80172818,-124.1615628,Point,"[-124.161563000387,40.8017280002306]"
243,nearMiss,Mar-19,walk,day,driver,,none,,,"no-yield, unsafe-speed",Speeding cars on HWY 101 going through town. Crosswalk is marked but should have flashing beacons or some way to make it more visible. Drivers typically do not yield to pedestrians anywhere along HWY 101 when going through Eureka.,,,,,,,,,,,,,,"1001 US-101 S, Eureka, CA, 95501, USA",3/14/2019,40.80360133,-124.1604171,Point,"[-124.160416999816,40.8036009999586]"
244,nearMiss,Mar-19,walk,day,driver,,none,,,"no-yield, unsafe-speed",Not yielding to pedestrians. Fast highway going through town. Crosswalks could use flashing beacons.,,,,,,,,,,,,,,"1101-1199 US-101 N, Eureka, CA, 95501, USA",3/14/2019,40.80291274,-124.1593977,Point,"[-124.159398000365,40.8029130001331]"
245,nearMiss,Mar-19,bike,day,driver,,none,,,"poor-bikelane, unsafe-speed",,,,,,,,,,,,,,,"High St, Lake Elsinore, CA, 92530, USA",3/16/2019,33.66494162,-117.3184341,Point,"[-117.318433999602,33.6649420000448]"
246,unsafe,,,,,,,,,,,,walk,day,other,"There is no crosswalk or pedestrian signal on the west leg, yet people still cross here against the signal due to demand, in conflict with left turning motorists. 

Left-turning motorists don't always yield to pedestrians trying to cross the south leg when pedestrians have the right of way.",,,,,,,,,"151-199 Ellis St, San Francisco, CA, 94102, USA",3/19/2019,37.7853692,-122.4086822,Point,"[-122.408681999859,37.7853690000585]"
247,nearMiss,3/19/2019,bike,day,driver,,none,,,unsafe-speed,"I was biking in the lane because I didn't want to get hit by someone opening their car door, and a car came speeding around the curve and swerved quickly into the oncoming lane of traffic to avoid hitting me. They honked at me, adding to the discomfort.",,,,,,,,,,,,,,"4501-4535 Marmion Way, Los Angeles, CA, 90065, USA",3/20/2019,34.09712811,-118.2085479,Point,"[-118.208548000249,34.0971280001255]"
248,incident,3/14/2019,other,day,,,,"poor-bikelane, unsafe-speed",The vehicle was going northbound at a excessive speed jumped the curb and hit a underground electrical vualt,,,,,,,,,,,,,,,,"863-1199 Humboldt Rd, Crescent City, CA, 95531, USA",3/20/2019,41.74069897,-124.1565323,Point,"[-124.156532000011,41.740698999936]"
249,incident,Dec-18,other,day,none,,none,unsafe-speed,Vehicle traveling north bound at a high rate of speed jumped the curb and took out a light pole,,,yes,,,,,,,,,,,,,"Sandmine Rd, Crescent City, CA, 95531, USA",3/20/2019,41.740146,-124.156602,Point,"[-124.156602000331,41.7401460000864]"
250,nearMiss,Mar-19,walk,day,ped,,none,,,poor-sidewalk,,,,,,,,,,,,,,,"Walters Rd, Suisun City, CA, 94585, USA",3/20/2019,38.24638748,-121.9881016,Point,"[-121.988102000198,38.2463870001769]"
251,nearMiss,3/22/2019,bike,day,driver,,none,,,"poor-bikelane, other","OXFORD STREET @ CENTER TRAVELING NORTH ON OXFORD, From  Frank Schlessinger way (UCBERKELEY street on campus) to west entrance or Center street, the traffic engineer designed a BIKE LANE with a painted line. This is a single bike lane with a large clear line delineating my side and his side, to me JUMPING OUT INTO TRAFFIC  -The bike lane just stops. The traffic engineer decided to have the bicycle lane take a whole lane of vehicle  traffic, the engineer decided to create a painted symbol of a human on a bike in the middle of the rode. (Symbolic JOKE: it literally shows a bicyclist on the road  getting run over by cars over and over  *cars fail to yield and feel we are in the way). What happened yesterday: A truck felt I had no right to be riding my bicycle home from work in the middle of the day (lunch) and thought he would SQUEEZE around me, brushing the hairs on my arms as he was passing. No fun at all. I suggest rethinking stopping the bike lane abruptly, and continuing the bi",,,,,,,,,,,,,,"2121-2139 Oxford St, Berkeley, CA, 94704, USA",3/23/2019,37.87045583,-122.2657433,Point,"[-122.265742999809,37.870455999681]"
252,incident,,walk,,,,,,,,,,,,,,,,,,,,,,"2121-2139 Oxford St, Berkeley, CA, 94704, USA",3/23/2019,37.87045583,-122.2657433,Point,"[-122.265742999809,37.870455999681]"
253,unsafe,,,,,,,,,,,,bike,day,other,"AC transit buses park and take their  lunch BREAKS in the bike lane, pushing passing bicyclist into the flow of car traffic",,,,,,,,,"Oxford St, Berkeley, CA, 94704, USA",3/23/2019,37.87112554,-122.2658954,Point,"[-122.265895000145,37.8711259996688]"
254,nearMiss,Mar-19,bike,,driver,,none,,,other,"While traveling north on Oxford, passing Hearst, the bike lane disappears. People in their cars need to merge. People consider bicyclists to be in the way, and while they are trying to merge expect my presence to disappear, POOF- presto- WHAMMO,  I should be able to just suddenly vanish *traveling  North on Oxford street just past Hearst Ave.",,,,,,,,,,,,,,"2201-2223 Hearst Ave, Berkeley, CA, 94709, USA",3/23/2019,37.87422024,-122.2663132,Point,"[-122.266312999721,37.8742199999951]"
255,unsafe,,,,,,,,,,,,"walk, ride",day,driving-speed,"The intersection of Delmont and Buena Ventura has a street calming triangle, creating one way streets on either side. Cars routinely speed the wrong way on these streets; as a driver or pedestrian feel unsafe because never sure which way a car might be coming from and line of sight is not good because of overgrown vegetation on the corner property between two streets that are merging. Cars coming from one part of Buena Ventura often have near misses with cars either rolling through stop sign at end of Delmont or even cars that are attempting to depart from stop sign because the car comes from nowhere (no visibility beyond juniper hedges). ",,,,,,,,,"3601-3745 Delmont Ave, Oakland, CA, 94605, USA",3/25/2019,37.77815231,-122.1775453,Point,"[-122.177545000249,37.7781520001324]"
256,unsafe,,,,,,,,,,,,walk,"day, night","no-yield, driving-speed",People drive fast on Sonoma blvd and often don't stop at to turn or yield to pedestrians. Children cross at Sonoma and Carolina to get to school.,,,,,,,,,"2000-2024 Sonoma Blvd, Vallejo, CA, 94590, USA",3/25/2019,38.10404546,-122.2548109,Point,"[-122.25481099957,38.1040449998145]"
257,unsafe,,,,,,,,,,,,walk,"day, night","no-yield, driving-speed",The crosswalk at Georgia and Fernwood awkwardly placed and the road is sloping downward at this point making it difficult for cars to stop at the crosswalk. Also the visibility of the cross walk is poor. Students use this crosswalk to get to school. There are painted markings on the street but no school zone signage to alert cars.  There is also no crosswalk on the opposite side of the intersection. ,,,,,,,,,"3700-3748 Georgia St, Vallejo, CA, 94591, USA",3/25/2019,38.10023342,-122.2119508,Point,"[-122.211951000247,38.1002330003206]"
258,unsafe,,,,,,,,,,,,walk,day,"no-yield, other",During school drop-off and pick-up there are a lot of students cross in all directions as well as cars dropping students off to school. Drivers make u-turns at four-way stop or run the stop sign due to the congestion. ,,,,,,,,,"400-498 Baywood Dr, Vallejo, CA, 94591, USA",3/25/2019,38.09838926,-122.2120024,Point,"[-122.212002000301,38.0983890002488]"
259,unsafe,,,,,,,,,,,,walk,"day, night",other,The sidewalk near the crosswalk is narrow and there is little buffer between the sidewalk and cars while waiting at the light. The crosswalk countdown is too fast for crossing four lanes of traffic. It's a busy street and right across from a school where kids are crossing during school hours. ,,,,,,,,,"701-799 Delmar Ave, Vallejo, CA, 94589, USA",3/25/2019,38.12577211,-122.2383301,Point,"[-122.238329999819,38.125772000198]"
260,unsafe,,,,,,,,,,,,walk,"day, night","poor-sign, other",There's only one crosswalk at Las Palmas and La Cienega (which crosses Las Palmas). There is no crosswalk at la Cienega and no stop sign for cars. It's unsafe for children to cross the street to get to school. ,,,,,,,,,"101-119 La Cienega Ave, Vallejo, CA, 94589, USA",3/25/2019,38.12781461,-122.240592,Point,"[-122.240591999925,38.1278149998899]"
261,unsafe,,,,,,,,,,,,walk,"day, night",no-yield,The stop line for cars comes right to the crosswalk at Georgia and Cedar St. Cars don't always yield for pedestrians crossing at Georgia st. This is a main access point for parents to drop-off children at Steffan Manor and gets really congested during drop-off and pick up hours. ,,,,,,,,,"800-898 Cedar St, Vallejo, CA, 94591, USA",3/25/2019,38.09996964,-122.2240979,Point,"[-122.224097999756,38.0999699997474]"
262,nearMiss,3/25/2019,other,day,driver,,none,,,other,A young man drove his car at me. I just got into my car and he was driving radical on both sides of the street and came straight for me while I was sitting in my car. He was at the stop sign messing with the lights. The lights kept changing from on to off to bright. So I assume the car was stolen. It happened so fast that I didn't get a picture. ,,,,,,,,,,,,,,"6515 Hillmont Dr, Oakland, CA, 94605, USA",3/25/2019,37.77663768,-122.17116,Point,"[-122.171159999788,37.7766379999956]"
263,unsafe,,,,,,,,,,,,walk,night,poor-lighting,Very dark at night ,,,,,,,,,"Sage St, Vallejo, CA, 94589, USA",3/25/2019,38.14013787,-122.2314991,Point,"[-122.231499000193,38.1401379996702]"
264,incident,,walk,day,ped,,none,"poor-sidewalk, no-yield",,,,yes,,,,,,,,,,,,,"Solano County, CA, USA",3/25/2019,38.12861535,-122.3842621,Point,"[-122.384262000444,38.128614999999]"
265,incident,Mar-19,walk,day,ped,,minor,poor-sidewalk,,,,no,,,,,,,,,,,,,"4389-4399 Sonoma Blvd, Vallejo, CA, 94589, USA",3/25/2019,38.13751758,-122.256285,Point,"[-122.256285000204,38.1375179996963]"
266,nearMiss,May-18,walk,day,driver,,none,,,no-yield,Vehicle did not yield for me while I was in the crosswalk. This is a common event.,,,,,,,,,,,,,,"Harbour Point Dr, Elk Grove, CA, 95758, USA",3/25/2019,38.42867147,-121.4810442,Point,"[-121.481043999863,38.428670999825]"
267,unsafe,,,,,,,,,,,,"walk, bike, other",day,"poor-sidewalk, poor-street, obstacle, other",There are no safe sidewalk and curb ramps for regular walking and handicap crossing. The  crosswalk are not properly designated to cross near the school gate and around,,,,,,,,,"Highland Elementary, 1309 Ensign Ave, Vallejo, CA, 94590, USA",3/25/2019,38.11473,-122.23422,Point,"[-122.234219999883,38.114730000173]"
268,incident,Jan-19,other,day,ped,,minor,no-yield,Driver made a complete stop  but didn’t wait to make sure student pedestrians didn’t walk across the street. Student started walking and the driver ran into the pedestrian. ,,,yes,,,,,,,,,,,,,"135-199 La Cienega Ave, Vallejo, CA, 94589, USA",3/25/2019,38.12805398,-122.238847,Point,"[-122.238847000028,38.1280540000936]"
269,nearMiss,Mar-19,walk,day,driver,,none,,,"poor-sign, unsafe-speed","Attempting to cross street to reach Moorland on the south side of Redwood, cars are speeding. The visibility/line of sight is poor, needs pedestrian/bicycle crossing lights and more lead time"" for warning vehicle drivers.""",,,,,,,,,,,,,,"2500-2598 Redwood St, Vallejo, CA, 94590, USA",3/25/2019,38.12301028,-122.2323867,Point,"[-122.232387000123,38.1230099997167]"
270,unsafe,,,,,,,,,,,,"scooter, transit, ride","day, night","poor-street, poor-lighting","Huge potholes on this street! These cause cars damage and make it unsafe for citizens walking, biking and driving.",,,,,,,,,"235 Sequoyah View Dr, Oakland, CA, 94605, USA",3/25/2019,37.76043115,-122.1406995,Point,"[-122.140699999695,37.760430999948]"
271,positive,,,,,,,,,,,,,,,,"walk, bike, other",,This is a perfect location for a class one or class IV separated bike path walkway between the school and the school and the railroad tracks from Nebraska Street towards Tennessee Street,,,,,,"801-811 Nebraska St, Vallejo, CA, 94590, USA",3/26/2019,38.1135747,-122.2466862,Point,"[-122.246686000133,38.1135749998921]"
272,unsafe,,,,,,,,,,,,bike,"day, night",poor-street,"The paving is in absolutely terrible condition, and utterly unacceptable for a bike route.  I purposely avoid this street due to the paving condition and bike on other streets. ",,,,,,,,,"1258-1258 Washington Ave, Albany, CA, 94706, USA",3/27/2019,37.8928317,-122.2940862,Point,"[-122.294085999562,37.8928320002472]"
273,unsafe,,,,,,,,,,,,bike,"day, night",poor-street,Terrible paving for a bike route!,,,,,,,,,"1258-1258 Washington Ave, Albany, CA, 94706, USA",3/27/2019,37.8928317,-122.2941399,Point,"[-122.294139999988,37.8928320002472]"
274,unsafe,,,,,,,,,,,,walk,night,"no-yield, driving-speed",,,,,,,,,,"251-299 17th St, Oakland, CA, 94612, USA",3/27/2019,37.80507413,-122.2647841,Point,"[-122.264783999734,37.8050739998875]"
275,unsafe,,,,,,,,,,,,other,,,Running stop sign,,,,,,,,,"1700-1722 Chestnut St, Berkeley, CA, 94702, USA",3/27/2019,37.87320763,-122.2885379,Point,"[-122.288537999875,37.8732080003022]"
276,nearMiss,3/20/2019,bike,day,driver,,none,,,no-yield,"It was raining very hard, and someone turning right in this intersection didn’t yield to me. They were dropping their kid off at the school here",,,,,,,,,,,,,,"2825-2869 9th St, Berkeley, CA, 94710, USA",3/27/2019,37.85400909,-122.289643,Point,"[-122.289643000438,37.8540089999375]"
277,nearMiss,Jul-18,walk,day,driver,,none,,,no-yield,"I was on my way home from walking my dog and when the light turned green I started across High Street in the intersection and with the light. A car began to make a left turn off Brookdale onto High  as I was in the middle of the intersection.  The car came right at me, didn’t slow down, so I began to shout and wave my hands as I could not get out of the car’s way. Then the driver saw me and slowed to a stop so I could get to the sidewalk with my chihuahua.",,,,,,,,,,,,,,"4207-4299 Brookdale Ave, Oakland, CA, 94619, USA",3/30/2019,37.78252333,-122.2042392,Point,"[-122.204239000364,37.7825230000935]"
278,positive,,,,,,,,,,,,,,,,walk,"safe-speed, good-lighting","This street is a residential area. The community is out an waking about ( walking dogs, exercising, etc) a lot.",,,,,,"6831 Mokelumne Ave, Oakland, CA, 94605, USA",3/31/2019,37.77437217,-122.1707151,Point,"[-122.170715000448,37.7743720000817]"
279,positive,,,,,,,,,,,,,,,,"walk, bike, skateboard, ride","safe-speed, car-traffic, good-sidewalk, good-lighting, good-sign","I gee up in this neighborhood. Beautiful, safe and community engaged area.",,,,,,"4900-4998 Stacy St, Oakland, CA, 94605, USA",3/31/2019,37.75471693,-122.1227136,Point,"[-122.122714000246,37.7547169997463]"
280,unsafe,,,,,,,,,,,,walk,"day, night",poor-sidewalk,"The sidewalk on Diablo ends right before Hillsdale, so pedestrians walkin gstraight on Hillsdale will need to walk on the road as they approach the intersection.",,,,,,,,,"4901-4939 Diablo Dr, Sacramento, CA, 95842, USA",4/2/2019,38.67518436,-121.3520653,Point,"[-121.35206499989,38.6751839998408]"
281,unsafe,,,,,,,,,,,,bike,"day, night",poor-street,Terrible paving. Some holes several inches deep. ,,,,,,,,,"1249-1253 Washington Ave, Albany, CA, 94706, USA",4/3/2019,37.8929463,-122.2942257,Point,"[-122.294226000202,37.8929460001233]"
282,unsafe,,,,,,,,,,,,"walk, bike","day, night","no-yield, driving-speed",,,,,,,,,,"E Imperial Hwy, Brea, CA, 92821, USA",4/4/2019,33.91662393,-117.9003803,Point,"[-117.900379999699,33.9166240002004]"
283,nearMiss,,bike,,,,,,,,,,,,,,,,,,,,,,"1305-1305 Rose St, Berkeley, CA, 94702, USA",4/4/2019,37.87700432,-122.2884723,Point,"[-122.288471999753,37.8770039999333]"
284,nearMiss,,bike,,,,,,,,,,,,,,,,,,,,,,"1442 Walnut St, Berkeley, CA, 94709, USA",4/4/2019,37.88058359,-122.2682364,Point,"[-122.268235999894,37.8805840000728]"
285,positive,,,,,,,,,,,,,,,,"walk, bike",,Drivers are cognizant of pedestrians and bicyclists and pretty considerate at this crossing ,,,,,,"1701-1899 Spruce St, Berkeley, CA, 94709, USA",4/4/2019,37.87426535,-122.2652623,Point,"[-122.265261999585,37.8742649998282]"
286,nearMiss,,walk,,,,,,,,,,,,,,,,,,,,,,"Allston Way, Berkeley, CA, 94704, USA",4/4/2019,37.86940737,-122.2678807,Point,"[-122.267881000067,37.8694069999279]"
287,nearMiss,,walk,,,,,,,,,,,,,,,,,,,,,,"2601-2627 Bancroft Way, Berkeley, CA, 94704, USA",4/4/2019,37.86911779,-122.2564196,Point,"[-122.256419999923,37.86911799965]"
288,incident,Mar-18,bike,day,driver,,minor,car-door,"Vehicles were moving very slowly on Hollywood Blvd due to heavy traffic. A passenger in a taxi decided not to wait and opened the rear passenger door while the vehicle was in the second lane. I was coming by on my bicycle in the right-most lane, towards the edge, going around a bus that was at the curb. With nowhere to go, I hit the open taxicab door in front of me.",,,no,,,,,,,,,,,,,"6807-6889 Hollywood Blvd, Los Angeles, CA, 90028, USA",4/4/2019,34.1016063,-118.3395016,Point,"[-118.339502000273,34.1016060001284]"
289,positive,,,,,,,,,,,,,,,,walk,"safe-speed, good-sidewalk, good-sign",Scramble intersection. Very assuring for peds since all vehicles are stopped.,,,,,,"6800-6804 Hollywood Blvd, Los Angeles, CA, 90028, USA",4/4/2019,34.1014917,-118.338697,Point,"[-118.338697000184,34.1014919998335]"
290,positive,,,,,,,,,,,,,,,,walk,,,,,,,,"2525 Ashby Ave, Berkeley, CA, 94705, USA",4/4/2019,37.85673539,-122.2556933,Point,"[-122.255692999652,37.8567349997068]"
291,positive,,,,,,,,,,,,,,,,walk,"safe-speed, good-sign",Scramble intersection - very safe as a ped since no cars are turning.,,,,,,"6300-6308 Hollywood Blvd, Los Angeles, CA, 90028, USA",4/4/2019,34.1015367,-118.3267316,Point,"[-118.32673200025,34.1015370002815]"
292,incident,,bike,,,,,car-door,,,,,,,,,,,,,,,,,"3016-3028 Shattuck Ave, Berkeley, CA, 94705, USA",4/4/2019,37.85416126,-122.2664508,Point,"[-122.266450999814,37.8541609997063]"
293,positive,,,,,,,,,,,,,,,,bike,,,,,,,,"San Pablo Ave, Emeryville, CA, 94608, USA",4/4/2019,37.82713548,-122.2786647,Point,"[-122.278665000168,37.8271349999015]"
294,nearMiss,Jan-19,bike,day,driver,,none,,,poor-street,"Poor street conditions on a one-lane road with sharrows. I sometimes take the lane. Was verbally harassed by a driver who didn't feel I was sharing"" the road well enough. Very close pass with his vehicle.""",,,,,,,,,,,,,,"6301-6399 Fountain Ave, Los Angeles, CA, 90028, USA",4/4/2019,34.0944068,-118.3287624,Point,"[-118.328761999655,34.0944070002161]"
295,nearMiss,,walk,,,,,,,,,,,,,,,,,,,,,,"415-449 MacArthur Blvd, Oakland, CA, 94610, USA",4/4/2019,37.81012003,-122.2488155,Point,"[-122.24881500017,37.8101200000836]"
296,positive,,,,,,,,,,,,,,,,walk,,Because of all-walk signal,,,,,,"1401-1433 1st Ave, Oakland, CA, 94606, USA",4/4/2019,37.79875049,-122.2572152,Point,"[-122.257214999966,37.7987499999863]"
297,unsafe,,,,,,,,,,,,walk,,,,,,,,,,,,"Lake Merritt Blvd, Oakland, CA, 94606, USA",4/4/2019,37.79811511,-122.2581737,Point,"[-122.258174000041,37.7981149997924]"
298,incident,Apr-18,bike,day,none,,minor,"gravel, curving","This is Nichols' infamous Crash Corner"" - an off camber turn on a slight downhill that is wet asphault almost 100% of the time due to poor drainage from a neighbor's sprinklers. Many people, including myself, have taken a serious tumble here. I broke my arm. Would appreciate improved drainage to keep the road dry.""",,,no,,,,,,,,,,,,,"2773-2863 Nichols Canyon Rd, Los Angeles, CA, 90046, USA",4/4/2019,34.12045771,-118.3583139,Point,"[-118.358313999727,34.1204580001534]"
299,unsafe,,,,,,,,,,,,"walk, bike, scooter","day, night","poor-bikelane, obstacle","Cars create three lanes but there is hardly space, leaving no space at the curb to ride a bicycle through. Homeless communities often develop on the sidewalk under the bridge, taking the full width with personal belongings. Trash can accumulate in the street, making it even more difficult to navigate.",,,,,,,,,"N Gower St, Los Angeles, CA, 90028, USA",4/4/2019,34.10413117,-118.3223746,Point,"[-118.322375000442,34.1041309998195]"
300,unsafe,,,,,,,,,,,,"walk, transit","day, night","poor-sign, driving-speed","Bus stops here. I and others often cross street midblock but cars drive much too quickly and come around blind turns. There should be a stop sign or at least a marked crosswalk. Walking to the nearest marked crosswalk (Scenic or Franklin) is infeasible, as that is the equivalent of walking two bus stops. Lot of dog walkers cross street here too.",,,,,,,,,"1922-1968 N Beachwood Dr, Los Angeles, CA, 90068, USA",4/4/2019,34.10707873,-118.3215808,Point,"[-118.321581000224,34.1070789999424]"
